GENE        	noTX	1buff_12h	1buff_24h	1buff_48h	wnt3a_12h	wnt3a_24h	wnt3a_48h	wnt5a_12h	wnt5a_24h	wnt5a_48h
ACPL2       	7	7	7	7	7	8	9	9	8	8
ACPP        	0	0	0	0	0	0	0	0	0	0
ACPT        	0	0	0	0	0	0	0	0	0	0
ACR         	0	0	0	0	0	0	0	0	0	0
ACRBP       	0	0	0	1	0	0	0	0	0	0
ACRC        	0	0	0	0	0	0	0	0	0	0
ACRV1       	1	1	1	0	1	0	0	0	0	1
ACSBG1      	0	0	0	0	0	0	0	0	0	0
ACSBG2      	0	0	0	0	0	0	0	0	0	0
ACSF2       	4	4	5	4	3	5	5	6	5	5
ACSF3       	3	3	0	0	0	3	0	3	3	0
ACSL1       	3	3	3	2	3	3	3	4	3	4
ACSL3       	15	15	18	16	13	20	22	23	19	18
ACSL4       	5	6	6	6	6	8	7	9	8	7
ACSL5       	0	0	0	0	0	0	0	0	0	0
ACSL6       	0	0	0	0	0	0	0	0	0	0
ACSM1       	0	0	0	0	0	0	0	0	0	0
ACSM2A      	0	0	0	0	0	0	0	0	0	0
ACSM2B      	0	0	0	0	0	0	0	0	0	0
ACSM3       	0	0	0	0	0	0	0	0	0	0
ACSM4       	0	0	0	0	0	0	0	0	0	0
ACSM5       	0	0	0	0	0	0	0	0	0	0
ACSS1       	3	2	3	3	3	3	3	4	2	2
ACSS2       	0	0	12	0	0	0	0	0	13	0
ACSS3       	2	1	1	1	2	2	2	1	1	1
ACTA1       	0	0	0	1	0	0	0	0	0	0
ACTA2       	50	46	57	52	0	68	60	0	52	57
ACTB        	60	55	67	56	52	56	50	73	53	54
ACTBL2      	0	0	0	0	0	0	0	0	0	0
ACTC1       	0	0	0	0	0	0	0	0	0	0
ACTG1       	3982	3835	3387	4052	2529	1646	1406	1866	1970	1972
ACTG2       	1	1	1	2	1	1	1	2	1	1
ACTL6A      	38	37	45	41	33	50	47	52	42	47
ACTL6B      	0	0	0	1	0	0	0	0	0	0
ACTL7A      	0	0	0	0	0	0	0	0	0	0
ACTL7B      	0	0	0	0	0	0	0	0	0	0
ACTL8       	1	1	1	1	2	1	1	1	0	0
ACTL9       	0	0	0	0	0	0	0	0	0	0
ACTN1       	28	27	28	27	24	25	25	34	28	28
ACTN2       	0	0	0	0	0	0	0	0	0	0
ACTN3       	0	0	0	0	0	0	0	0	0	0
ACTN4       	32	30	32	33	27	24	21	27	23	23
ACTR10      	13	12	15	14	11	16	17	21	17	17
ACTR1A      	21	19	27	22	19	26	27	32	25	24
ACTR1B      	8	9	10	9	7	9	9	11	7	8
ACTR2       	0	0	0	0	0	0	0	0	0	0
ACTR3       	22	19	22	21	20	29	29	36	29	28
ACTR3B      	4	3	4	5	5	6	6	6	5	7
ACTR3BP2    	0	0	0	0	0	0	0	0	0	0
ACTR3BP5    	0	0	0	0	0	0	0	0	0	0
ACTR3C      	0	0	0	0	0	0	0	0	0	0
ACTR5       	2	1	2	2	2	2	2	2	2	1
ACTR6       	14	13	16	14	11	20	21	24	21	21
ACTR8       	6	6	6	5	5	8	8	9	8	7
ACTRT1      	0	0	0	0	0	0	0	0	0	0
ACTRT2      	0	0	0	0	0	0	0	0	0	0
ACVR1       	5	5	5	5	4	5	4	7	6	6
ACVR1B      	10	9	10	9	9	9	10	9	8	8
ACVR1C      	0	0	0	0	0	0	0	0	0	0
ACVR2A      	7	8	9	8	6	7	8	13	11	11
ACVR2B      	9	7	9	8	7	9	11	11	10	9
ACVRL1      	0	0	0	0	0	0	0	0	0	0
ACY1        	17	13	9	13	6	13	13	11	10	12
ACY3        	0	0	0	0	0	0	0	0	0	0
ACYP1       	22	26	22	25	25	26	22	21	26	27
ACYP2       	5	6	5	5	3	5	5	5	4	4
ADA         	6	4	6	5	3	7	8	7	7	7
ADAD1       	0	0	0	0	0	0	0	0	0	0
ADAD2       	0	0	0	0	0	0	0	0	0	0
ADAL        	7	5	6	6	5	7	8	8	7	8
ADAM1       	1	2	2	2	2	1	2	2	2	2
ADAM10      	14	12	15	12	12	18	21	21	18	15
ADAM11      	0	0	0	0	0	0	0	0	0	0
ADAM12      	0	0	1	0	0	0	0	1	1	0
ADAM15      	4	3	4	4	5	3	3	3	3	2
ADAM17      	5	7	7	6	6	7	8	9	7	6
ADAM18      	0	0	0	0	0	0	0	0	0	0
ADAM19      	1	2	1	1	1	1	1	1	2	1
ADAM2       	0	0	0	0	0	0	0	0	0	0
ADAM20      	0	0	0	0	0	0	0	0	0	0
ADAM21      	0	0	0	0	0	0	0	0	0	0
ADAM21P1    	0	0	0	0	0	0	0	0	0	0
ADAM22      	2	2	0	0	2	2	3	3	2	2
ADAM23      	3	2	3	2	3	3	4	4	3	3
ADAM28      	0	0	0	0	0	0	0	0	0	0
ADAM29      	0	0	0	0	0	0	0	0	0	0
ADAM30      	0	0	0	0	0	0	0	0	0	0
ADAM32      	0	0	0	0	0	0	0	0	0	0
ADAM33      	0	0	0	0	0	0	0	0	0	0
ADAM3A      	0	0	0	0	0	0	0	0	0	0
ADAM5P      	0	0	0	0	0	0	0	0	0	0
ADAM6       	0	0	0	0	0	0	0	0	0	0
ADAM7       	0	0	0	0	0	0	0	0	0	0
ADAM8       	0	0	0	0	0	0	0	0	0	0
ADAM9       	10	9	11	10	9	10	9	15	12	11
ADAMDEC1    	0	0	0	0	0	0	0	0	0	0
ADAMTS1     	4	3	4	4	4	4	4	6	5	5
ADAMTS10    	1	1	1	1	1	1	0	1	0	1
ADAMTS12    	3	3	4	3	3	3	4	5	4	3
ADAMTS13    	0	0	0	1	0	0	0	0	0	0
ADAMTS14    	0	0	0	0	0	0	0	0	0	0
ADAMTS15    	1	1	0	0	0	0	0	1	0	1
ADAMTS16    	0	0	0	0	0	0	0	0	0	0
ADAMTS17    	0	0	0	0	0	0	0	0	0	0
ADAMTS18    	0	0	0	0	0	0	0	0	0	0
ADAMTS19    	0	0	0	0	1	1	2	0	0	0
ADAMTS2     	0	0	0	0	0	0	0	0	0	0
ADAMTS20    	0	0	0	0	0	0	0	0	1	0
ADAMTS3     	1	1	1	1	1	1	1	1	1	1
ADAMTS4     	0	0	0	0	0	0	0	0	0	0
ADAMTS5     	0	0	0	0	0	0	0	0	0	0
ADAMTS6     	1	1	1	1	1	1	1	1	1	1
ADAMTS7     	2	2	2	2	2	2	2	2	2	2
ADAMTS8     	0	0	0	0	0	0	0	0	0	0
ADAMTS9     	5	5	6	5	6	7	9	8	7	7
ADAMTS9-AS2 	0	0	0	0	0	0	0	0	0	0
ADAMTSL1    	0	0	0	1	0	0	0	0	0	0
ADAMTSL2    	0	0	0	0	0	0	0	0	0	0
ADAMTSL3    	0	0	0	0	0	0	0	0	0	0
ADAMTSL4    	0	0	0	0	0	0	0	0	0	0
ADAMTSL5    	0	0	0	0	0	0	0	0	0	0
ADAP1       	0	0	0	0	0	0	0	0	0	0
ADAP2       	0	0	0	0	0	0	0	0	0	0
ADAR        	19	18	21	18	19	21	24	26	21	21
ADARB1      	0	0	0	0	0	0	0	0	0	0
ADARB2      	0	0	0	0	0	0	0	0	0	0
ADAT1       	0	0	0	0	0	0	0	0	0	3
ADAT2       	1	1	1	1	1	1	1	2	1	1
ADAT3       	6	4	6	6	4	5	4	5	4	4
ADC         	1	0	1	0	1	0	0	0	0	0
ADCK1       	2	2	2	3	2	2	2	2	2	2
ADCK2       	1	2	2	1	1	1	1	1	1	1
ADCK3       	3	2	2	2	3	4	4	3	3	2
ADCK4       	5	5	5	5	3	4	5	4	3	3
ADCK5       	3	2	1	1	1	1	1	1	1	1
ADCY1       	1	1	1	1	1	1	1	1	1	1
ADCY10      	0	0	0	0	0	0	0	0	0	0
ADCY2       	1	1	1	0	1	1	0	1	1	0
ADCY3       	2	2	1	1	2	1	1	1	1	1
ADCY4       	0	0	0	0	0	0	0	0	0	0
ADCY5       	1	2	1	1	1	1	1	1	1	1
ADCY6       	7	7	7	7	6	4	5	5	4	4
ADCY7       	2	1	2	1	2	2	2	2	2	2
ADCY8       	0	0	0	0	0	0	0	0	0	0
ADCY9       	1	0	1	1	1	1	1	1	1	0
ADCYAP1     	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1   	0	0	0	0	0	0	0	0	0	0
ADD1        	45	44	43	42	35	41	38	46	41	42
ADD2        	9	10	11	10	11	13	12	12	10	8
ADD3        	7	6	8	7	7	8	8	9	9	7
ADH1A       	0	0	0	0	0	0	0	0	0	0
ADH1B       	0	0	0	0	0	0	0	0	0	0
ADH1C       	0	0	0	0	0	0	0	0	0	0
ADH4        	0	0	1	0	0	0	0	0	0	0
ADH5        	17	14	20	17	15	21	23	27	22	21
ADH6        	0	1	0	0	1	1	1	1	0	1
ADH7        	0	0	0	0	0	0	0	0	0	0
ADHFE1      	0	0	0	0	0	0	0	0	0	0
ADI1        	22	23	27	26	23	39	41	42	32	31
ADIG        	0	0	0	0	0	0	0	0	0	0
ADIPOQ      	0	0	0	0	0	0	0	0	0	0
ADIPOR1     	19	19	20	18	17	23	22	27	22	23
ADIPOR2     	10	9	12	9	10	12	13	14	12	12
ADK         	10	11	13	11	13	19	18	17	16	15
ADM         	26	24	31	27	13	18	18	32	26	24
ADM2        	0	0	0	0	0	0	0	0	0	0
ADNP        	22	22	25	23	20	30	35	37	32	29
ADNP2       	10	10	11	11	11	15	16	17	15	14
ADO         	20	19	24	21	16	23	24	31	27	25
ADORA1      	1	0	0	1	2	0	1	1	0	0
ADORA2A     	0	1	1	0	0	1	0	0	1	0
ADORA2B     	2	1	1	1	2	1	1	1	1	1
ADORA3      	0	0	0	0	0	0	0	0	0	0
ADPGK       	18	22	20	21	23	17	17	19	16	16
ADPRH       	0	0	0	0	0	0	0	0	0	0
ADPRHL1     	1	1	1	1	1	1	1	1	1	1
ADPRHL2     	16	13	15	15	13	18	20	24	17	18
ADRA1A      	0	0	0	0	0	0	0	0	0	0
ADRA1B      	0	0	0	0	0	0	0	0	0	0
ADRA1D      	0	0	0	0	0	0	0	0	0	0
ADRA2A      	0	0	0	0	0	0	0	0	0	0
ADRA2B      	0	0	0	0	0	0	0	0	0	0
ADRA2C      	2	1	1	1	2	1	1	1	1	1
ADRB1       	0	0	0	0	0	0	0	0	0	0
ADRB2       	0	0	0	0	1	0	0	0	0	0
ADRB3       	0	0	0	0	0	0	0	0	0	0
ADRBK1      	7	6	7	5	6	6	7	7	5	5
ADRBK2      	2	2	2	2	2	3	3	3	3	3
ADRM1       	0	0	0	0	0	93	0	0	0	0
ADSL        	32	28	41	32	41	53	47	44	40	44
ADSS        	11	9	11	9	9	13	13	13	11	10
ADSSL1      	3	3	3	3	2	3	4	3	3	3
AEBP1       	6	6	7	6	5	5	5	6	5	5
AEBP2       	10	10	11	10	10	12	12	14	12	13
AEN         	19	18	22	19	20	24	24	28	20	19
AES         	0	0	0	0	0	0	0	0	0	0
AFAP1       	6	6	6	7	5	6	6	7	7	7
AFAP1-AS1   	0	0	0	0	0	0	0	0	0	0
AFAP1L1     	0	0	0	0	0	0	0	0	0	0
AFAP1L2     	0	0	0	0	0	0	0	0	0	0
AFF1        	4	4	4	4	5	5	6	6	6	6
AFF2        	0	0	0	0	0	0	0	0	0	0
AFF3        	5	0	0	4	0	4	0	6	5	0
AFF4        	7	7	8	7	6	8	10	10	9	8
AFG3L1P     	4	2	4	3	3	3	2	4	3	3
AFG3L2      	11	10	13	11	11	16	16	18	14	15
AFM         	0	0	0	0	0	0	0	0	0	0
AFMID       	0	0	0	19	0	0	0	0	0	0
AFP         	1	0	1	0	0	0	0	0	0	0
AFTPH       	0	0	0	0	0	0	0	0	0	0
AGA         	11	11	11	11	9	15	16	19	16	15
AGAP1       	7	8	9	8	7	11	13	13	11	9
AGAP11      	0	0	0	0	0	0	0	0	0	0
AGAP2       	4	5	4	5	3	2	3	3	2	2
AGAP3       	8	6	7	7	7	9	8	7	6	6
AGAP4       	0	0	0	0	0	0	0	0	0	0
AGAP5       	0	0	0	0	0	0	0	0	0	0
AGAP6       	0	0	0	0	0	0	0	0	0	0
AGAP7       	0	0	0	0	0	0	0	0	0	0
AGAP8       	0	0	0	0	0	0	0	0	0	0
AGAP9       	0	0	0	0	0	0	0	0	0	0
AGBL1       	0	0	0	0	0	0	0	0	0	0
AGBL2       	0	0	0	0	0	0	0	0	0	0
AGBL3       	0	1	0	0	0	1	1	1	0	0
AGBL4       	0	0	0	0	1	1	1	1	1	0
AGBL5       	22	18	22	19	17	22	22	21	19	19
AGER        	0	0	0	2	3	1	2	0	1	2
AGFG1       	0	0	0	0	0	0	0	0	0	0
AGFG2       	1	1	1	1	1	1	1	1	1	1
AGGF1       	6	6	6	6	6	8	9	9	8	7
AGK         	4	5	6	6	5	7	8	7	6	6
AGL         	4	4	4	4	4	6	5	6	5	5
AGMAT       	0	0	1	0	0	1	0	0	0	0
AGMO        	0	0	0	0	0	1	0	0	0	0
AGPAT1      	35	0	30	0	28	26	22	0	0	25
AGPAT2      	13	11	13	14	6	7	4	6	8	7
AGPAT3      	0	3	3	3	2	3	0	3	3	0
AGPAT4      	3	3	3	3	2	3	3	4	3	3
AGPAT5      	11	12	12	13	13	19	19	20	18	17
AGPAT6      	4	4	5	5	3	5	5	6	5	4
AGPAT9      	0	0	0	0	0	0	0	0	0	0
AGPHD1      	1	0	2	0	2	1	1	1	1	1
AGPS        	6	5	6	5	6	8	8	9	7	7
AGR2        	0	0	0	0	0	0	0	0	0	0
AGR3        	0	0	0	0	0	0	0	0	0	0
AGRN        	5	3	4	4	4	3	4	4	3	3
AGRP        	0	0	1	0	0	1	0	0	0	0
AGSK1       	0	0	0	0	0	0	0	0	0	0
AGT         	0	0	0	0	0	0	0	0	0	0
AGTPBP1     	5	5	5	5	5	6	7	7	6	6
AGTR1       	0	0	0	0	0	1	0	0	0	0
AGTR2       	0	0	0	0	0	0	0	0	0	0
AGTRAP      	32	27	26	28	22	26	27	20	18	16
AGXT        	0	0	0	0	0	0	0	0	0	0
AGXT2       	0	0	0	0	0	0	0	0	0	0
AGXT2L1     	0	0	0	0	0	0	0	0	0	0
AGXT2L2     	2	2	2	2	2	1	2	2	1	2
AHCTF1      	1	1	2	2	1	2	3	3	2	2
AHCY        	74	74	63	75	66	61	50	41	38	42
AHCYL1      	16	15	14	14	14	20	20	22	17	18
AHCYL2      	0	0	0	0	0	0	0	0	0	0
AHDC1       	4	5	5	4	6	5	6	4	4	4
AHI1        	0	2	0	0	0	0	3	0	0	2
AHNAK       	4	3	5	4	3	3	2	3	4	4
AHNAK2      	0	0	0	0	0	0	0	0	0	0
AHR         	1	1	0	1	1	1	1	1	1	1
AHRR        	0	0	0	0	0	0	0	0	0	0
AHSA1       	25	23	26	23	23	35	34	35	29	28
AHSA2       	1	1	1	1	1	1	1	2	1	1
AHSG        	0	0	0	0	0	0	0	1	0	0
AHSP        	0	0	0	0	0	0	0	0	0	0
AICDA       	0	0	0	0	0	0	0	0	0	0
AIDA        	1	1	1	1	1	2	1	1	1	1
AIF1        	0	0	1	1	1	1	2	0	1	1
AIF1L       	23	0	0	0	0	0	0	0	0	18
AIFM1       	25	24	18	21	22	24	23	22	20	23
AIFM2       	0	0	0	0	0	0	0	0	0	0
AIFM3       	0	0	0	0	0	0	0	0	0	0
AIG1        	6	7	7	7	5	8	8	7	7	7
AIM1        	0	0	0	0	0	0	0	0	0	0
AIM1L       	0	0	0	0	0	0	0	0	0	0
AIM2        	1	2	2	1	1	2	2	2	2	2
AIMP1       	16	12	14	14	13	18	18	18	16	18
AIMP2       	0	0	0	0	0	0	0	0	0	0
AIP         	23	18	24	22	18	27	28	34	25	26
AIPL1       	0	0	0	0	0	0	0	0	0	0
AIRE        	0	0	0	0	0	0	0	0	0	0
AJAP1       	0	1	0	0	0	0	0	0	0	0
AK1         	9	7	10	9	7	10	10	11	9	8
AK2         	0	0	0	0	0	0	0	0	0	0
AK3         	8	7	0	0	6	0	0	0	0	0
AK4         	2	2	3	2	1	0	0	2	2	0
AK5         	2	1	2	1	1	1	1	2	2	2
AK7         	1	1	1	1	1	1	0	1	1	1
AK8         	1	1	1	0	1	1	0	1	1	0
AKAP1       	13	12	13	12	10	12	11	13	12	12
AKAP10      	2	3	4	2	3	3	4	4	3	3
AKAP11      	10	9	10	9	9	13	16	16	14	12
AKAP12      	7	7	8	6	7	8	9	12	10	9
AKAP13      	0	0	0	0	0	5	7	0	0	5
AKAP14      	3	2	1	4	1	2	1	4	4	4
AKAP17A     	0	0	0	0	0	0	0	0	0	0
AKAP2       	0	0	0	14	0	0	0	0	17	0
AKAP3       	1	1	1	0	1	1	1	2	1	1
AKAP4       	0	0	0	0	0	0	0	0	0	0
AKAP5       	1	1	1	1	1	1	1	1	1	1
AKAP6       	0	1	0	1	1	1	1	1	1	1
AKAP7       	4	4	0	0	0	3	4	0	4	4
AKAP8       	8	8	9	8	8	10	11	12	9	10
AKAP8L      	19	15	20	17	15	18	18	23	19	19
AKAP9       	0	4	4	4	0	0	5	0	5	5
AKD1        	2	2	2	2	1	2	3	2	2	2
AKIP1       	0	0	15	15	11	0	0	14	0	0
AKIRIN1     	16	15	18	15	15	17	18	20	16	15
AKIRIN2     	22	19	22	20	20	28	28	35	27	27
AKIRIN2-AS1 	2	2	2	2	2	2	2	3	2	1
AKNA        	2	2	2	2	2	2	2	2	2	2
AKNAD1      	0	0	0	0	0	0	0	0	0	0
AKR1A1      	0	0	0	0	0	0	0	0	0	0
AKR1B1      	24	23	29	24	22	29	29	34	24	24
AKR1B10     	0	0	0	0	0	0	0	0	0	0
AKR1B15     	0	0	0	0	0	0	0	0	0	0
AKR1C1      	0	1	1	0	0	1	0	1	1	1
AKR1C2      	0	0	0	1	0	0	0	0	0	0
AKR1C3      	0	0	0	0	0	0	0	0	0	0
AKR1C4      	0	0	0	0	0	0	0	0	0	0
AKR1CL1     	0	0	0	0	0	0	0	0	0	0
AKR1D1      	0	0	0	0	0	0	0	0	0	0
